Indigo Taxonomy ID,Indigo Taxonomy,Google Taxonomy,
828850-528231-528255-529667,Books > Art and Architecture > Art Technique > Watercolour,Media > Books > Non-Fiction > Art Books,
828850-528231-528256,Books > Art and Architecture > Artists__ Architects and Photographers,Media > Books > Non-Fiction,
828850-528231-528257,Books > Art and Architecture > General Art,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529668,Books > Art and Architecture > General Art > Activity,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669,Books > Art and Architecture > General Art > Art History,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669-530723,Books > Art and Architecture > General Art > Art History > African,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669-530724,Books > Art and Architecture > General Art > Art History > American,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669-530725,Books > Art and Architecture > General Art > Art History > Asian,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669-530726,Books > Art and Architecture > General Art > Art History > Conceptual,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669-530727,Books > Art and Architecture > General Art > Art History > European,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529669-530728,Books > Art and Architecture > General Art > Art History > Religious,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670,Books > Art and Architecture > General Art > Art Technique,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530729,Books > Art and Architecture > General Art > Art Technique > Acrylic Painting,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530730,Books > Art and Architecture > General Art > Art Technique > Airbrush,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530731,Books > Art and Architecture > General Art > Art Technique > Calligraphy,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530732,Books > Art and Architecture > General Art > Art Technique > Cartooning,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530733,Books > Art and Architecture > General Art > Art Technique > Drawing,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530734,Books > Art and Architecture > General Art > Art Technique > Mixed-Media,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530735,Books > Art and Architecture > General Art > Art Technique > Oil Painting,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530736,Books > Art and Architecture > General Art > Art Technique > Painting,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530737,Books > Art and Architecture > General Art > Art Technique > Pastel,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530738,Books > Art and Architecture > General Art > Art Technique > Pen and Ink,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530739,Books > Art and Architecture > General Art > Art Technique > Pencil,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530740,Books > Art and Architecture > General Art > Art Technique > Printmaking,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530741,Books > Art and Architecture > General Art > Art Technique > Sculpture,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529670-530742,Books > Art and Architecture > General Art > Art Technique > Watercolour,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529671,Books > Art and Architecture > General Art > Clip Art,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529672,Books > Art and Architecture > General Art > Collections__ Catalogues__ and Exhibitions,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529673,Books > Art and Architecture > General Art > Colour,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529674,Books > Art and Architecture > General Art > Criticism,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529675,Books > Art and Architecture > General Art > Fashion,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529676,Books > Art and Architecture > General Art > Fine Arts,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529677,Books > Art and Architecture > General Art > Folk Art,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678,Books > Art and Architecture > General Art > Graphic Art and Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530743,Books > Art and Architecture > General Art > Graphic Art and Design > Book Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530744,Books > Art and Architecture > General Art > Graphic Art and Design > Commercial Advertising,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530745,Books > Art and Architecture > General Art > Graphic Art and Design > Commerial Illustration,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530746,Books > Art and Architecture > General Art > Graphic Art and Design > Decorative Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530747,Books > Art and Architecture > General Art > Graphic Art and Design > Furniture Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530748,Books > Art and Architecture > General Art > Graphic Art and Design > General Commercial,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530749,Books > Art and Architecture > General Art > Graphic Art and Design > General Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530750,Books > Art and Architecture > General Art > Graphic Art and Design > Graphic Arts,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530751,Books > Art and Architecture > General Art > Graphic Art and Design > Textile and Costume,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529678-530752,Books > Art and Architecture > General Art > Graphic Art and Design > Typography,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529679,Books > Art and Architecture > General Art > Individual Artist,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529680,Books > Art and Architecture > General Art > Popular Culture,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529681,Books > Art and Architecture > General Art > Reference,Media > Books > Non-Fiction > Art Books,
828850-528231-528257-529682,Books > Art and Architecture > General Art > Study and Teaching,Media > Books > Non-Fiction > Art Books,
828850-528231-528441,Books > Art and Architecture > Graphic Art and Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529683,Books > Art and Architecture > Graphic Art and Design > Book Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529684,Books > Art and Architecture > Graphic Art and Design > Commercial Advertising,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529685,Books > Art and Architecture > Graphic Art and Design > Commerial Illustration,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529686,Books > Art and Architecture > Graphic Art and Design > Decorative Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529687,Books > Art and Architecture > Graphic Art and Design > Furniture Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529688,Books > Art and Architecture > Graphic Art and Design > General Commercial,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529689,Books > Art and Architecture > Graphic Art and Design > General Design,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529690,Books > Art and Architecture > Graphic Art and Design > Graphic Arts,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529691,Books > Art and Architecture > Graphic Art and Design > Textile and Costume,Media > Books > Non-Fiction > Art Books,
828850-528231-528441-529692,Books > Art and Architecture > Graphic Art and Design > Typography,Media > Books > Non-Fiction > Art Books,
828850-528231-528258,Books > Art and Architecture > Photography,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693,Books > Art and Architecture > Photography > Equipment and Techniques,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530753,Books > Art and Architecture > Photography > Equipment and Techniques > Camera Specific,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530754,Books > Art and Architecture > Photography > Equipment and Techniques > Colour,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530755,Books > Art and Architecture > Photography > Equipment and Techniques > Commercial,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530756,Books > Art and Architecture > Photography > Equipment and Techniques > Darkroom,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530757,Books > Art and Architecture > Photography > Equipment and Techniques > Equipment,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530758,Books > Art and Architecture > Photography > Equipment and Techniques > Lighting,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530759,Books > Art and Architecture > Photography > Equipment and Techniques > Reference,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529693-530760,Books > Art and Architecture > Photography > Equipment and Techniques > Techniques,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529694,Books > Art and Architecture > Photography > Individual Photographer,Media > Books > Non-Fiction > Photography Books,
828850-528231-528258-529695,Books > Art and Architecture > Photography > Pictorials,Media > Books > Non-Fiction > Photography Books,
